id	label	x	y	cluster	weight<Links>	weight
214	bianchini (2019)	0.1384	-0.4498	3	5	14
215	flamigni (2025)	0.2128	-0.3815	3	1	0
216	guaman-cabrera (2023)	0.639	-0.7411	8	1	6
217	svempe (2024)	0.1796	-0.4455	3	4	10
218	akiyama (2023)	0.35	-0.8026	2	2	2
219	vallejo-torres (2008)	0.1474	-0.7578	4	5	65
220	pennell (2016)	0.1264	-0.5655	4	1	24
221	hussain (2025)	0.2683	-0.1685	5	1	1
222	martin (2012)	0.4425	-0.78	2	7	41
223	cheng (2024a)	0.6804	-0.6993	8	3	6
224	hu (2025b)	0.4297	-0.5635	7	2	41
225	hu (2025c)	0.4601	-0.5266	7	3	58
226	tau (2020)	0.3401	-0.2286	5	3	21
227	ball (2018)	0.5359	-0.9062	2	1	49
228	hubner (2021)	0.1969	-0.3437	3	2	22
229	schmettow (2017)	0.4883	-0.7552	2	3	24
230	pietzsch (2009)	0.4683	-0.8133	2	10	74
231	ho (2016)	0.541	-0.2927	1	4	100
232	mayer (2025)	0.4943	-0.4358	7	4	0
233	feldmon (2008)	0.1234	-0.6932	4	1	45
234	song (2020)	0.7513	-0.325	1	4	39
235	medina (2013)	0.4714	-0.8348	2	8	41
236	spahic (2025b)	0.7797	-0.2087	1	2	2
237	verma (2018)	0.9636	-0.499	6	3	10
238	surma-aho (2021)	0.4169	-0.7576	2	3	16
239	yang (2021)	0.7976	-0.5118	6	1	5
240	daubner-bendes (2021)	0.0637	-0.5682	4	5	16
241	mardina (2025)	0.5197	-0.5131	7	2	0
242	mu (2025)	0.546	-0.5714	7	2	2
243	sorenson (2014)	0.1173	-0.3234	3	8	109
244	zhang (2003)	0.4125	-0.9151	2	16	318
245	shah (2009)	0.4514	-0.8048	2	11	150
246	zhou (2021)	0.5103	-0.8438	2	1	18
247	marcilly (2024)	0.0625	-0.4647	3	3	2
248	huegel (2024)	0.4164	-0.2867	5	1	0
249	hinrichs (2013)	0.1921	-0.5781	4	1	9
250	gao (2024b)	0.2971	-0.1522	5	2	11
251	shukla (2020)	0.0051	-0.3854	3	2	24
252	moller (2020)	0.0879	-0.7745	4	1	5
253	bretthauer (2023)	0.1072	-0.4333	3	6	34
254	russell (2008)	0.1003	-0.6962	4	1	34
255	girling (2010)	0.1304	-0.7304	4	4	39
256	drozda (2018)	0.3013	-0.4375	3	1	15
257	verga (2023)	0.725	-0.2749	1	9	1
258	koola (2024)	0.4259	-0.2768	5	2	1
259	tolga (2020)	0.4034	-0.9401	2	3	22
260	suendermann (2024b)	0.1614	-0.3894	3	5	1
261	gebel (2024)	0.6835	-0.1828	1	2	2
262	cooper (2022)	0.1369	-0.5107	3	2	3
263	hagedorn (2016)	0.4302	-0.7912	2	5	21
264	maccaro (2022)	0.2357	-0.6887	4	3	10
265	pauchard (2023)	0.4024	-0.4505	7	1	28
266	bligard (2014)	0.4049	-0.7795	2	2	8
267	song (2025)	0.6133	-0.7073	8	1	0
268	ramos (2022)	0.8087	-0.4243	1	1	8
269	saidi (2019)	0.4011	-0.7661	2	6	11
270	loge (2015)	0.1261	-0.6353	4	2	6
271	maresova (2021)	0.0303	-0.4229	3	4	13
272	samore (2004)	0.4034	-0.2701	5	11	98
273	kadakia (2024)	0.2744	-0.1567	5	1	10
274	webb (2022)	0.6532	-0.492	7	3	8
275	ho (2021)	0.4158	-0.6844	2	1	3
276	ni (2020)	0.1965	-0.7208	4	4	10
277	garmer (2002)	0.4517	-0.7763	2	7	39
278	pelayo (2021)	0.0435	-0.4427	3	3	15
279	henschke (2015)	0.3692	-0.3026	5	3	16
280	winterhalter (2017)	0.27	-0.9411	2	1	122
281	fink (2023)	0.2235	-0.4359	3	3	28
282	onitiu (2024)	0.1384	-0.4749	3	5	20
283	choi (2024)	0.3577	-0.246	5	2	1
284	cubukcu (2025)	0.1987	-0.4868	3	1	2
285	macneill (2020)	0.5147	-0.6021	7	9	164
286	watson (2024)	0.0986	-0.3834	3	1	2
287	raghav (2023)	0.0026	-0.3874	3	1	1
288	agarwal (2018)	0.4157	-0.4667	7	1	11
289	tervonen (2023)	0.6845	-0.1661	1	4	25
290	kishimoto (2022)	0.2771	-0.1954	5	1	4
291	beswick (2018)	0.5561	-0.251	1	5	9
292	patel (2022)	0.0787	-0.3553	3	1	3
293	fraser (2021)	0.183	-0.3729	3	4	23
294	graham (2004)	0.3921	-0.8043	2	4	69
295	liao (2024b)	0.6934	-0.3109	1	1	4
296	ostuni (2010)	0.3084	-0.2456	5	1	2
297	bayon (2016)	0.5945	-0.1781	1	1	23
298	larson (2021)	0.6481	-0.8307	8	2	90
299	"o&#39;neill (2019)"	0.7048	-0.2047	1	2	14
300	blankart (2021)	0.1075	-0.5878	4	1	14
301	lingg (2016a)	0.189	-0.6505	4	2	6
302	su (2023)	0.638	-0.1901	1	1	4
303	hoveling (2024)	0.4348	-0.4932	7	5	32
304	chen (2000)	0.4455	-0.6823	2	1	28
305	ciurana (2014)	0.4294	-0.7164	2	5	40
306	dutot (2017)	0.0962	-0.6238	4	2	8
307	windecker (2025)	0.2562	-0.1798	5	2	21
308	schrappe (2005)	0.3955	-0.2899	5	2	17
309	cheng (2024b)	0.681	-0.75	8	5	8
310	siontis (2024)	0.2122	-0.1927	5	2	20
311	guerlich (2023)	0.216	-0.1617	5	1	13
312	caron (2022)	0.0516	-0.4471	3	2	4
313	bitterman (2011)	0.4412	-0.7198	2	4	42
314	fouretier (2014)	0.0535	-0.4063	3	2	11
315	maisel (2004)	0.0566	-0.6589	4	10	121
316	dhruva (2025b)	0.3535	-0.2081	5	1	0
317	zhang (2025)	0.6667	-0.7203	8	3	0
318	grebin (2018)	0.4222	-0.7897	2	6	5
319	khanmohammadi (2018)	0.7149	-0.7323	8	3	79
320	sadeghi-demneh (2018)	0.1747	-0.341	3	1	7
321	damkjaer (2025)	0.1471	-0.5677	4	5	3
322	timbie (2024)	0.7098	-0.1729	1	3	3
323	hundur (2025)	0.7924	-0.2194	1	2	0
324	gelijns (2013)	0.1703	-0.5605	4	2	16
325	badnjevic (2017)	0.6684	-0.2083	1	5	31
326	booth (2025)	0.5352	-0.424	7	2	0
327	manimuthukumar (2025)	0.1138	-0.455	3	2	0
328	zheng (2020)	0.7553	-0.1859	1	1	12
329	hulstaert (2012)	0.179	-0.6255	4	8	38
330	jiang (2021b)	0.4698	-0.7268	2	2	0
331	huot (2012)	0.154	-0.6325	4	6	20
332	smith (2021)	0.5632	-0.2047	1	3	20
333	huusko (2023)	0.1004	-0.4107	3	7	16
334	vidi (2011)	0.4315	-0.2624	5	3	20
335	fraser (2025)	0.2318	-0.1795	5	3	2
336	najera (2011)	0.9323	-0.2849	1	2	77
337	wong (2016)	0.1894	-0.6708	4	1	10
338	yamaguchi (2019)	0.2844	-0.8094	2	1	14
339	mellert (2009)	0.408	-0.297	5	3	3
340	hatz (2017)	0.2588	-0.6406	4	1	24
341	hochreiter-hufford (2024)	0.2275	-0.3844	3	3	4
342	nikkhah (2023)	0.5167	-0.4094	7	1	3
343	fraser (2011)	0.1446	-0.6021	4	4	64
344	vincent (2015)	0.4994	-0.7981	2	3	16
345	yamaguchi (2026)	0.316	-0.806	2	2	0
346	kysh (2024)	0.2729	-0.3756	3	1	1
347	ciklacandir (2023)	0.4659	-0.717	2	4	6
348	lin (2025)	0.2983	-0.2047	5	4	0
349	sherman (2018)	0.541	-0.4719	7	6	193
350	morita (2016)	0.4414	-0.758	2	3	24
351	rugera (2014)	0.2457	-0.3245	3	1	33
352	abugabah (2022)	0.8428	-0.4102	1	1	7
353	benjamens (2020)	0.3377	-0.1896	5	10	649
354	hulstaert (2023)	0.1463	-0.5921	4	10	13
355	deligiannis (2025)	0.7229	-0.7585	8	1	3
356	courdier (2009)	0.4152	-0.2452	5	2	30
357	mishali (2025)	0.3147	-0.2245	5	4	8
358	jarow (2015)	0.1769	-0.4042	3	2	38
359	aronson (2020)	0.5379	-0.5609	7	7	69
360	rathore (2020)	0.3013	-0.1287	5	1	16
361	acker (2012)	0.2346	-0.5786	4	1	1
