id	document	citations	links		
242	mclaughlin (2020)	10	1		
325	fearis (2017)	10	1		
339	vincent (2017)	10	6		
379	nikula (2016)	10	3		
388	kim (2020b)	10	2		
410	bijok (2023)	10	0		
457	ozcan-top (2019)	10	2		
472	chien (2011)	10	0		
499	svempe (2024)	10	4		
557	verma (2018)	10	3		
575	sarvestani (2021)	10	1		
640	martins (2015)	10	0		
641	janss (2018)	10	1		
651	maccaro (2022)	10	3		
684	kadakia (2024)	10	1		
689	ni (2020)	10	4		
772	cobos (2022)	10	0		
952	wong (2016)	10	1		
1067	formosa (2018)	10	0		
1128	chizari (2021)	10	0		
99	qiu (2023)	9	2		
135	lee (2005)	9	1		
148	seo (2022)	9	4		
155	chandrasekar (2018a)	9	2		
172	seong (2021)	9	5		
279	ishida (2016)	9	2		
366	xu (2020)	9	3		
378	parreira (2020)	9	6		
440	karacabay (2023)	9	7		
451	lingg (2017)	9	1		
515	wang (2018)	9	0		
593	hinrichs (2013)	9	1		
604	fresiello (2022)	9	1		
611	brodlie (2007)	9	0		
638	livingston (2021)	9	0		
739	beswick (2018)	9	5		
740	martins (2020)	9	0		
782	kim (2022a)	9	0		
788	gillis (2016)	9	0		
792	avdeyev (2019)	9	0		
802	may-newman (2012)	9	0		
1009	parvizi (2014)	9	1		
1057	mertl (2019)	9	1		
282	ong (2025)	8	2		
322	ferner (2020)	8	1		
335	clemente (2019)	8	2		
396	namshirin (2011)	8	2		
435	lopez-elizalde (2013)	8	0		
448	mihcin (2017)	8	0		
588	kuznietsova (2018)	8	0		
600	shang (2022)	8	0		
659	bligard (2014)	8	2		
662	de sousa mendes (2015)	8	0		
671	ramos (2022)	8	1		
687	webb (2022)	8	3		
724	choudhary (2023)	8	1		
751	hanada (2007)	8	0		
753	samuels-reid (2019)	8	0		
813	pecora (2022)	8	0		
815	dutot (2017)	8	2		
826	cheng (2024b)	8	5		
847	bonnaire (2014)	8	0		
853	cao (2022b)	8	2		
942	chen (2022b)	8	0		
964	bae (2019)	8	0		
978	nolan (2013)	8	0		
989	tariq (2024)	8	0		
1007	chiu (2017)	8	0		
1021	persson (2014)	8	0		
1071	abbate (2016)	8	0		
1072	mishali (2025)	8	4		
1100	lukowski (2019)	8	0		
1114	willing (2020)	8	0		
17	casey (2013)	7	2		
60	maresova (2020)	7	8		
68	hillebrecht (2022)	7	6		
102	miguel cruz (2010)	7	2		
145	bovee (2001)	7	4		
180	shin (2023)	7	5		
227	mauch (2021)	7	1		
319	diani (2017)	7	1		
323	park (2023)	7	1		
367	haber (2022)	7	3		
403	naderi (2019)	7	0		
415	baltaxe (2023)	7	1		
419	stordeur (2013)	7	2		
439	iadanza (2019b)	7	1		
476	nocco (2011)	7	0		
487	lindholm (2014)	7	5		
488	grennan (2022)	7	0		
522	zhao (2021b)	7	0		
539	thouvenin (2018)	7	0		
543	alshagathrh (2018)	7	0		
568	park (2020)	7	0		
576	bighamian (2021)	7	2		
585	jung (2023)	7	0		
639	pishghadam (2023)	7	0		
709	hinkelbein (2021)	7	0		
711	bundgaard (2019)	7	1		
752	bourcier (2016)	7	0		
767	kasalak (2021)	7	0		
775	mowitz (2024)	7	0		
820	zhang (2024a)	7	5		
873	seri (2023)	7	0		
884	sadeghi-demneh (2018)	7	1		
925	laing (2019)	7	0		
938	carolan (2022)	7	0		
957	rapa (2013)	7	1		
970	henderson (2021)	7	0		
1031	tesema (2024)	7	0		
1041	abugabah (2022)	7	1		
1050	gomez (2024)	7	1		
1064	russo (2021)	7	0		
1123	eguren (2021)	7	0		
22	ishida (2014)	6	1		
23	aunion-villa (2020)	6	3		
41	ren (2022)	6	1		
86	zhou (2024)	6	2		
93	bastogne (2022)	6	1		
160	liu (2020)	6	1		
176	lyu (2024)	6	3		
274	mcdermott (2024)	6	7		
277	choi (2021b)	6	4		
352	weininger (2010)	6	0		
355	lim (2022)	6	0		
376	gonzalez-dominguez (2021)	6	4		
400	zens (2015)	6	1		
475	kluess (2014)	6	1		
498	guaman-cabrera (2023)	6	1		
514	candidori (2023)	6	1		
521	cheng (2024a)	6	3		
565	jahnke (2003)	6	0		
602	kanemitsu (2005)	6	0		
610	romano (2023)	6	0		
619	loblova (2021)	6	0		
631	janss (2016)	6	2		
667	choi (2011)	6	0		
669	carlone (2024)	6	0		
679	loge (2015)	6	2		
692	saylor (2023)	6	1		
722	nu bich duyen do (2022)	6	0		
727	kaczmarek (2003)	6	0		
754	kramer (2021)	6	0		
798	lingg (2016a)	6	2		
805	arya (2019)	6	0		
840	nelson (2023)	6	0		
868	park (2001)	6	0		
903	othmen (2024)	6	0		
931	parkinson (2019)	6	0		
945	grundgeiger (2014)	6	0		
946	shukla (2023)	6	0		
975	swanepoel (2021)	6	0		
981	shannon (2022)	6	0		
987	kim (2022b)	6	0		
1012	ciklacandir (2023)	6	4		
1013	dowdy (2009)	6	0		
1024	golesorkhie (2020)	6	0		
1043	woods (2021)	6	0		
1089	wu (2025)	6	0		
1112	ye (2014)	6	0		
19	li (2023b)	5	1		
45	pinho (2023)	5	5		
78	badnjevic (2023e)	5	3		
105	rossi (2018)	5	1		
111	martina (2024b)	5	7		
126	choi (2021a)	5	2		
137	iadanza (2021)	5	3		
185	wang (2023a)	5	2		
202	street (2024)	5	1		
245	puder (2023)	5	2		
263	fargnoli (2024)	5	2		
289	augustynek (2018)	5	2		
353	kaufman-rivi (2013)	5	0		
364	gherman (2022)	5	0		
377	haydock (2015)	5	3		
391	pecoraro (2014)	5	2		
416	lavassani (2023)	5	0		
418	lee (2024)	5	3		
422	klar (2018)	5	0		
424	barkaoui (2023)	5	5		
426	brain (2025)	5	1		
436	dalli (2023)	5	3		
438	worrell (2014)	5	0		
450	dhruva (2022)	5	1		
452	jones (2021)	5	0		
462	gavurova (2019)	5	2		
463	zippel (2017b)	5	1		
474	rueckel (2024)	5	0		
523	pane (2020)	5	0		
558	pinter (2019)	5	1		
563	yang (2021)	5	1		
571	halder (2020)	5	0		
614	moller (2020)	5	1		
654	schumacher (2007)	5	0		
714	du (2024)	5	0		
742	douze (2024)	5	0		
757	smulko (2012)	5	0		
761	steinmann (2015)	5	0		
768	maloney (2022)	5	0		
807	bai (2024b)	5	0		
851	kakkar (2019)	5	0		
852	belal (2001)	5	0		
855	lange (2016)	5	0		
861	bradley (2019)	5	0		
865	ozyuerek (2024)	5	6		
872	grebin (2018)	5	6		
886	fereidouni (2021)	5	1		
889	kramer (2022)	5	1		
895	iwai (2022)	5	0		
896	ingvar (2024)	5	0		
900	nandy (2017)	5	0		
918	dodd (2005)	5	0		
924	d'ugo (2018)	5	0		
926	passali (2015)	5	0		
998	sridhar (2015)	5	0		
